epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
39,19142.1,0.35903,0.46224,0.10666,0.76916,0.79324,0.79141,0.50319,0.4221,0.57611,0.16277,6.87222e-05,6.87222e-05,6.87222e-05
40,19631.9,0.35668,0.45993,0.10593,0.74675,0.80508,0.79106,0.50377,0.41988,0.58259,0.15819,6.72675e-05,6.72675e-05,6.72675e-05
41,20121.2,0.35398,0.45495,0.10444,0.75603,0.80383,0.79293,0.50735,0.41714,0.57682,0.15693,6.57963e-05,6.57963e-05,6.57963e-05
42,20611.7,0.34927,0.45272,0.10326,0.76998,0.78909,0.79409,0.5128,0.41569,0.58299,0.15602,6.43101e-05,6.43101e-05,6.43101e-05
43,21101.2,0.35007,0.44369,0.10184,0.76286,0.80525,0.79583,0.50944,0.41737,0.57518,0.15886,6.28101e-05,6.28101e-05,6.28101e-05
44,21590.7,0.34809,0.4433,0.10157,0.75654,0.80427,0.79386,0.51139,0.41454,0.5865,0.15807,6.12981e-05,6.12981e-05,6.12981e-05
45,22081.6,0.34543,0.44531,0.10303,0.76763,0.80018,0.79771,0.51156,0.41447,0.57099,0.15684,5.97754e-05,5.97754e-05,5.97754e-05
46,22572.3,0.34403,0.43899,0.10121,0.76471,0.81016,0.79745,0.51185,0.4141,0.58933,0.15832,5.82435e-05,5.82435e-05,5.82435e-05
47,23062.3,0.34026,0.43576,0.10048,0.76775,0.79934,0.79712,0.51353,0.41379,0.58957,0.15837,5.6704e-05,5.6704e-05,5.6704e-05
48,23552.7,0.33626,0.43606,0.09906,0.77031,0.79971,0.79724,0.51396,0.41328,0.58484,0.15609,5.51584e-05,5.51584e-05,5.51584e-05
49,24043.1,0.33552,0.43111,0.09774,0.77172,0.78698,0.79299,0.50961,0.42077,0.58669,0.162,5.36081e-05,5.36081e-05,5.36081e-05
50,24533.1,0.33462,0.4349,0.09928,0.77126,0.78987,0.79173,0.51088,0.41713,0.59236,0.16335,5.20548e-05,5.20548e-05,5.20548e-05
51,25023.4,0.33472,0.42762,0.09594,0.7677,0.80075,0.79435,0.51001,0.41655,0.59506,0.16235,5.05e-05,5.05e-05,5.05e-05
52,25515.6,0.33021,0.42556,0.09452,0.75995,0.80362,0.79401,0.5117,0.41679,0.60218,0.16292,4.89452e-05,4.89452e-05,4.89452e-05
53,26006.1,0.32636,0.42284,0.0933,0.77354,0.80776,0.79824,0.51483,0.41356,0.59625,0.16091,4.73919e-05,4.73919e-05,4.73919e-05
